Symbol	Description
CBAKOP.AX	Commonwealth Bank Of Australia.
CBAKOQ.AX	Commonwealth Bank Of Australia.
CBAKOR.AX	Commonwealth Bank Of Australia.
CBAKOS.AX	Commonwealth Bank Of Australia.
CBAKOT.AX	Commonwealth Bank Of Australia.
CBAKOU.AX	Commonwealth Bank Of Australia.
CBAKOV.AX	Commonwealth Bank Of Australia.
CBAKOW.AX	Commonwealth Bank Of Australia.
CBALOA.AX	Commonwealth Bank Of Australia.
CBALOC.AX	Commonwealth Bank Of Australia.
CBALOI.AX	Commonwealth Bank Of Australia.
CBALOM.AX	Commonwealth Bank Of Australia.
CBALOQ.AX	Commonwealth Bank Of Australia.
CBALOR.AX	Commonwealth Bank Of Australia.
CBALOT.AX	Commonwealth Bank Of Australia.
CBALOU.AX	Commonwealth Bank Of Australia.
CBALOV.AX	Commonwealth Bank Of Australia.
CBALOW.AX	Commonwealth Bank Of Australia.
CBALOX.AX	Commonwealth Bank Of Australia.
CBALOY.AX	Commonwealth Bank Of Australia.
CBAMOB.AX	Commonwealth Bank Of Australia.
CBAMOE.AX	Commonwealth Bank Of Australia.
CBAPC.AX	Commonwealth Bank Of Australia.
CBAPD.AX	Commonwealth Bank Of Australia.
CBAQOD.AX	Commonwealth Bank Of Australia.
CBAQOE.AX	Commonwealth Bank Of Australia.
CBAQOF.AX	Commonwealth Bank Of Australia.
CBAQOS.AX	Commonwealth Bank Of Australia.
CBAQOX.AX	Commonwealth Bank Of Australia.
CBC.AX	China Broadband Corporation ltd
CBCO.AX	Cbg Capital Limited
CBL.AX	Cbl Corporation Limited
CBQ.AX	Coalbank Limited
CCC.AX	Continental Coal Limited
CCF.AX	Carbon Conscious Ltd
CCJ.AX	County Coal Limited
CCL.AX	Coca-Cola Amatil Ltd
CCLKOB.AX	Coca-cola Amatil Limited
CCLKOC.AX	Coca-cola Amatil Limited
CCLKOR.AX	Coca-cola Amatil Limited
CCLKOS.AX	Coca-cola Amatil Limited
CCP.AX	Credit Corp Group Ltd
CCV.AX	Cash Converters International Ltd
CCZ.AX	Castillo Copper Limited
CDA.AX	Codan Ltd
CDB.AX	Condor Blanco Mines Limited
CDD.AX	Cardno Ltd
CDDKOB.AX	Cardno Limited
CDDKOC.AX	Cardno Limited
CDDKOQ.AX	Cardno Limited
CDDKOR.AX	Cardno Limited
CDG.AX	Cleveland Mining Company Limited
CDGO.AX	Cleveland Mining Company Limited
CDH.AX	Chongherr Investments Ltd
CDM.AX	Cadence Capital Ltd
CDP.AX	Carindale Property Trust
CDT.AX	Castle Minerals Ltd
CDU.AX	CuDeco Ltd
CDUKOQ.AX	Cudeco Limited
CDV.AX	Cardinal Resources Limited
CDVOA.AX	Cardinal Resources Limited
CDY.AX	Cellmid Limited
CDYO.AX	Cellmid Limited
CEL.AX	CEL
CELO.AX	CELO
CEN.AX	Central Australian Phosphate Limited
CER.AX	Centro Retail Group
CETF.AX	CETF
CFE.AX	Cape Lambert Iron Ore Ltd
CFU.AX	Ceramic Fuel Cells Ltd
CGC.AX	Consolidated Gaming Corporation
CGF.AX	Challenger Financial Services Group
CGFKOG.AX	Challenger Limited
CGFKOI.AX	Challenger Limited
CGFKOQ.AX	Challenger Limited
CGFKOT.AX	Challenger Limited
CGFKOU.AX	Challenger Limited
CGFPA.AX	Challenger Limited
CGL.AX	The Citadel Group Limited
CGM.AX	Cougar Metals NL
CGN.AX	Crater Gold Mining Limited
CGNG.AX	Crater Gold Mining Limited
CGO.AX	CPT Global Ltd
CGR.AX	Careers Multilist Limited
CGRG.AX	Cml Group Limited
CGS.AX	Cogstate Ltd
CGW.AX	Coats Group Plc
CHC.AX	Charter Hall Group
CHF.AX	Charter Pacific Corporation Ltd
CHK.AX	Cohiba Minerals Limited
CHN.AX	Chalice Gold Mines Ltd
CHP.AX	Chapmans Ltd
CHR.AX	Chalmers Ltd
CHZ.AX	Chesser Resources Ltd
CIA.AX	Champion Iron Limited
CIE.AX	Contango Income Generator Limited
CIEO.AX	Contango Income Generator Limited
CII.AX	CI Resources Ltd
CIK.AX	China Integrated Media Corporation Limited
CIM.AX	Cimic Group Limited
CIMKOA.AX	Cimic Group Limited
CIMKOB.AX	Cimic Group Limited
CIMKOC.AX	Cimic Group Limited
CIMKOD.AX	Cimic Group Limited
CIMKOP.AX	Cimic Group Limited
CIMKOQ.AX	Cimic Group Limited
CIMKOR.AX	Cimic Group Limited
CIMKOT.AX	Cimic Group Limited
CIN.AX	Carlton Investments Ltd
CINPA.AX	Carlton Investments PA
CIW.AX	Clime Investment Management Ltd
CJC.AX	The Carajas Copper Company Limited
CKA.AX	Cokal Limited
CKF.AX	Collins Foods Limited
CKL.AX	Colorpak Ltd
CL1.AX	Class Limited
CL8.AX	Collaborate Corporation Limited
CL8O.AX	Collaborate Corporation Limited
CLA.AX	Celsius Coal Limited
CLH.AX	Collection House Ltd
CLQ.AX	Clean Teq Holdings Ltd
CLT.AX	Cellnet Group Ltd
CLV.AX	Clover Corporation Ltd
CLX.AX	CTI Logistics Ltd
CLY.AX	Clancy Exploration Ltd
CLZ.AX	Classic Minerals Ltd
CM8.AX	Crowd Mobile Limited
CMA.AX	Centuria Metropolitan Reit
CMC.AX	China Magnesium Corporation Limited
CMI.AX	CMI Ltd
CMM.AX	Capricorn Metals Ltd
CMP.AX	Compumedics Ltd
CMT.AX	Cott Oil And Gas Limited
CMW.AX	Cromwell Corporation Ltd
CMY.AX	Capital Mining Ltd
CMYO.AX	Capital Mining Ltd
CND.AX	Candle Australia Ltd
CNGHA.AX	Colonial Holding Company Limited
CNI.AX	Centuria Capital Limited
CNJ.AX	Conico Ltd
CNL.AX	CNL
CNLCA.AX	CNLCA
CNQ.AX	Carbine Tungsten Limited
CNU.AX	Chorus Limited
CNW.AX	Cirrus Networks Holdings Limited
CNX.AX	Carbon Energy Ltd
CNXO.AX	Carbon Energy Limited
COE.AX	Cooper Energy Ltd
COF.AX	Coffey International Ltd
COH.AX	Cochlear Ltd
COHKOA.AX	Cochlear Limited
COHKOC.AX	Cochlear Limited
COHKOD.AX	Cochlear Limited
COHKOP.AX	Cochlear Limited
COHKOU.AX	Cochlear Limited
COHKOW.AX	Cochlear Limited
COI.AX	Comet Ridge Ltd
COK.AX	Cockatoo Coal Ltd
COM.AX	ComOps Ltd
COO.AX	Cosmos Ltd
COY.AX	Coppermoly Ltd
CPD.AX	Condoto Platinum Nl.
CPU.AX	Computershare Ltd
CPUKOA.AX	Computershare Limited.
CPUKOB.AX	Computershare Limited.
CPUKOP.AX	Computershare Limited.
CPUKOQ.AX	Computershare Limited.
CPUKOR.AX	Computershare Limited.
CQC.AX	Cuesta Coal Limited
CQR.AX	Charter Hall Retail Reit
CR8.AX	Cre8tek Limited
CRB.AX	Carbine Resources Ltd
CRL.AX	Comet Resources Ltd
CRM.AX	Carbon Minerals NL (CRMCA)
CRQ.AX	Credo Resources Limited
CSD.AX	Consolidated Tin Mines Ltd
CSE.AX	Copper Strike Ltd
CSL.AX	CSL Ltd
CSLKOC.AX	Csl Limited
CSLKOD.AX	Csl Limited
CSLKOE.AX	Csl Limited
CSLKOF.AX	Csl Limited
CSLKOH.AX	Csl Limited
CSLKOI.AX	Csl Limited
CSLKOJ.AX	Csl Limited
CSLKOP.AX	Csl Limited
CSLKOQ.AX	Csl Limited
CSLKOU.AX	Csl Limited
CSLKOV.AX	Csl Limited
CSLKOW.AX	Csl Limited
CSLKOY.AX	Csl Limited
CSLMOP.AX	Csl Limited
CSLQOA.AX	Csl Limited
CSR.AX	CSR Ltd
CSRKOD.AX	Csr Limited
CSRKOP.AX	Csr Limited
CSRKOQ.AX	Csr Limited
CSS.AX	Clean Seas Tuna Ltd
CSV.AX	CSG Ltd
CTD.AX	Corporate Travel Management Limited
CTDKOB.AX	Corporate Travel Management Limited
CTDKOC.AX	Corporate Travel Management Limited
CTDKOE.AX	Corporate Travel Management Limited
CTDKOF.AX	Corporate Travel Management Limited
CTE.AX	Cryosite Ltd
CTM.AX	Centaurus Metals Limited
CTMO.AX	Centaurus Metals Limited
CTN.AX	Contango Microcap Ltd
CTNG.AX	Contango Microcap Limited
CTO.AX	Citigold Corporation Ltd
CTP.AX	Central Petroleum Ltd
CTR.AX	Citation Resources Ltd
CTROA.AX	Citation Resources Ltd
CTX.AX	Caltex Australia Ltd
CTXHA.AX	Caltex Australia Limited
CTXKOA.AX	Caltex Australia Limited
CTXKOB.AX	Caltex Australia Limited
CTXKOC.AX	Caltex Australia Limited
CTXKOQ.AX	Caltex Australia Limited
CTXKOR.AX	Caltex Australia Limited
CTXKOZ.AX	Caltex Australia Limited
CUE.AX	Cue Energy Resources Ltd
CUL.AX	Cullen Resources Ltd
CUP.AX	Countplus Limited
CUV.AX	Clinuvel Pharmaceuticals Ltd
CUX.AX	Crossland Uranium Mines Ltd
CV1.AX	Cv Check Ltd
CVC.AX	CVC Ltd
CVE.AX	Cove Resources Limited
CVEO.AX	Cove Resources Limited
CVG.AX	Convergent Minerals Ltd
CVN.AX	Carnarvon Petroleum Ltd
CVO.AX	Cover-more Group Limited
CVR.AX	Central Asia Resources Ltd
CVS.AX	Cervantes Seafood Ltd
CVT.AX	Covata Limited
CVV.AX	Caravel Minerals Limited
CVW.AX	Clearview Wealth Limited
CWC.AX	China Waste Corporation Limited
CWE.AX	Carnegie Wave Energy Limited
CWH.AX	China West International Holdings
CWN.AX	Crown Ltd
CWNHA.AX	Crown Limited
CWNHB.AX	Crown Resorts Limited
CWNKOF.AX	Crown Resorts Limited
CWNKOG.AX	Crown Resorts Limited
CWNKOP.AX	Crown Limited
CWNKOQ.AX	Crown Limited
CWNKOR.AX	Crown Limited
CWP.AX	Cedar Woods Properties Ltd
CWY.AX	Cleanaway Waste Management Limited
CWYKOB.AX	Cleanaway Waste Management Limited
CWYKOC.AX	Cleanaway Waste Management Limited
CWYKOP.AX	Cleanaway Waste Management Limited
CWYKOQ.AX	Cleanaway Waste Management Limited
CXM.AX	Centrex Mentals Ltd
CXO.AX	Core Exploration Limited
CXOOA.AX	Core Exploration Limited
CXU.AX	
CXX.AX	Cradle Resources Limited
CXZ.AX	Connexion Media Limited
CXZO.AX	Connexion Media Limited
CYA.AX	Century Australia Investments Ltd
CYB.AX	Cybg Plc
CYBKOC.AX	Cybg Plc
CYC.AX	Cyclopharm Ltd
CYG.AX	Coventry Group Ltd
CYL.AX	Catalyst Metals Ltd
CYLO.AX	CYLO
CYO.AX	Clarity Oss Limited
CYP.AX	Cynata Therapeutics Limited
CYU.AX	China Yunnan Copper Australia Ltd
CYY.AX	Crescent Resources Corp
CZA.AX	Coal of Africa
CZI.AX	Cassini Resources Limited
CZL.AX	Consolidated Zinc Limited
CZLO.AX	Consolidated Zinc Limited
CZN.AX	Corazon Mining Limited
CZR.AX	Coziron Resources Ltd
CZZ.AX	Capilano Honey Limited
D13.AX	Department 13 International Ltd
DAF.AX	Discovery Africa Limited
DAFO.AX	Discovery Africa Limited
DAU.AX	Dampier Gold Limited
DCC.AX	Digital Cc Limited
DCG.AX	Decmil Group Limited
DCN.AX	Dacian Gold Limited
DDD.AX	3D Resources Ltd
DDF.AX	Deutsche Diversified Trust mrger DRT
DDR.AX	Dicker Data Limited
DDT.AX	DataDot Technology Ltd
DEG.AX	De Grey Mining Ltd
DFM.AX	Dongfang Modern Agriculture Holding Group Limited
DGH.AX	Desane Group Holdings Ltd
DGO.AX	Drummond Gold Ltd
DGR.AX	D'Aguilar Gold Ltd
DGX.AX	Diploma Group Ltd
DHR.AX	Dark Horse Resources Limited
DIG.AX	Digital Performance Group Ltd
DIT.AX	Deutsche Industrial Trust
DIV.AX	DIV
DJW.AX	Djerriwarth Investments Ltd
DJXKOB.AX	DJXKOB
DJXKOE.AX	DJXKOE
DJXKOG.AX	DJXKOG
DJXKOK.AX	DJXKOK
DJXKOP.AX	Djia Mini E-cbot
DJXKOR.AX	Djia Mini E-cbot
DJXKOS.AX	Djia Mini E-cbot
DJXKOT.AX	DJXKOT
DJXKOV.AX	DJXKOV
DJXKOZ.AX	DJXKOZ
DKM.AX	Duketon Mining Limited
DKO.AX	Dakota Minerals Limited
DLC.AX	DLC
DLE.AX	DLE
DLS.AX	Drillsearch Energy Ltd
DLSKOA.AX	Drillsearch Energy Limited
DLSKOC.AX	Drillsearch Energy Limited
DLX.AX	Duluxgroup Limited
DLXKOC.AX	Duluxgroup Limited
DLXKOP.AX	Duluxgroup Limited
DM1.AX	Directmoney Limited
DMA.AX	Dynasty Metals Australia Ltd
DMC.AX	Digimatic Group Limited
DME.AX	Dome Gold Mines Limited
DMG.AX	Dragon Gold Mountain Ltd
DMI.AX	Dempsey Minerals Limited
DMP.AX	Domino's Pizza Australia NZ Ltd
DMPKOA.AX	Dominos Pizza Enterprises Limited
DMPKOC.AX	Dominos Pizza Enterprises Limited
DMPKOD.AX	Dominos Pizza Enterprises Limited
DMPKOE.AX	Dominos Pizza Enterprises Limited
DMPKOR.AX	Dominos Pizza Enterprises Limited
DMPKOT.AX	Dominos Pizza Enterprises Limited
DNA.AX	Donaco International Limited
DNK.AX	Danakali Limited
DOT.AX	Deutsche Office Trust
DOW.AX	Downer EDI Ltd
DOWKOB.AX	Downer Edi Limited
DOWKOD.AX	Downer Edi Limited
DOWKOE.AX	Downer Edi Limited
DOWKOJ.AX	Downer Edi Limited
DOWKOP.AX	Downer Edi Limited
DOWKOR.AX	Downer Edi Limited
DOWKOS.AX	Downer Edi Limited
DOWKOT.AX	Downer Edi Limited
DRA.AX	Dragon Mining NL
DRG.AX	Draig Resources Limited
DRK.AX	Drake Resources Ltd
DRKOB.AX	Drake Resources Limited
DRM.AX	Doray Minerals Limited
DRX.AX	Diatreme Resources Ltd
DRXO.AX	DRXO
DSB.AX	Delta Sbd Limited
DSH.AX	Dick Smith Holdings Limited
DSX.AX	Decimal Software Limited
DTI.AX	Dti Group Ltd
DTL.AX	Data#3 Ltd
DTM.AX	Dart Mining NL
DTR.AX	Dateline Resources Limited
DTX.AX	Datetix Group Ltd
DUB.AX	Dubber Corporation Limited
DUE.AX	Diversified Utility & Energy Trusts
DUEKOA.AX	Duet Group
DUEKOB.AX	Duet Group
DUEKOP.AX	Duet Group
DUEKOQ.AX	Duet Group
DUI.AX	Diversified United Investment Ltd
DVA.AX	
DVI.AX	Disruptive Investment Group Limited
DVL.AX	Dorsavi Ltd
DVN.AX	Devine Ltd
DWS.AX	DWS Advanced Business Solutions Ltd
DXB.AX	Dimerix Limited
DXS.AX	Dexus Property Group
DYE.AX	Dyesol Ltd
DYL.AX	Deep Yellow Ltd
E88.AX	Ensogo Limited
EAI.AX	Ellerston Asian Investment Limited
EAL.AX	Elders Australia Lt t/over by FCL
EAR.AX	Echo Resources Ltd
EAS.AX	Easton Investments Limited
EAX.AX	Energy Action Limited
EBG.AX	Eumundi Group Ltd
EBO.AX	Ebos Group Limited
ECG.AX	Ecargo Holdings Limited
ECO.AX	Echoice Limited
ECX.AX	Eclipx Group Limited
EDE.AX	Eden Energy Ltd
EDEO.AX	Eden Energy Ltd
EEG.AX	Empire Energy Group Limited
EER.AX	East Energy Resources Ltd
EEU.AX	Betashares Euro Etf
EFE.AX	Eastern Iron Ltd
EGG.AX	Enero Group Limited
EGH.AX	Eureka Group Holdings Limited
EGI.AX	eGlobal International
EGIO.AX	Ellerston Global Investments Limited
EGL.AX	Environmental Group Ltd (The)
EGN.AX	EGN
EGO.AX	Empire Oil & Gas NL
EGOO.AX	Empire Oil & Gas Nl
EGY.AX	Energy Technologies Limited
EHE.AX	Estia Health Limited
EHEKOB.AX	Estia Health Limited
EHEKOC.AX	Estia Health Limited
EHEKOP.AX	Estia Health Limited
EHL.AX	Emeco Holdings Ltd
ELD.AX	ELD
ELDPA.AX	ELD
ELK.AX	ELK Petroleum Ltd
ELKO.AX	Elk Petroleum Limited
ELM.AX	Elemental Minerals Ltd
ELR.AX	Elsmore Resources Ltd
ELT.AX	Elementos Limited
ELX.AX	Ellex Medical Lasers Ltd
EMB.AX	Embelton Ltd
EMC.AX	Emefcy Group Limited
EME.AX	Energy Metals Ltd
EMF.AX	Emerging Markets Masters Fund
EMG.AX	Emergent Resources Ltd
EMH.AX	European Metals Holdings Limited
EMHO.AX	European Metals Holdings Limited
EML.AX	Emerchants Limited
EMR.AX	Emerald Oil & Gas NL
EMU.AX	EMU Nickel NL
EMUCA.AX	Emu Nl
EMX.AX	Energia Minerals Limited
ENA.AX	Ensurance Ltd
ENB.AX	Eneabba Gas Ltd
ENC.AX	Enice Holding Company Limited
ENL.AX	Eagle Nickel Ltd
ENN.AX	Elanor Investors Group
ENR.AX	Encounter Resources Ltd
ENT.AX	
ENU.AX	Enterprise Uranium Limited
ENX.AX	Enegex Nl
ENZ.AX	Enzumo Limited
EOL.AX	Energy One Ltd
EOR.AX	Enhanced Oil & Gas Recovery Limited
EOS.AX	Electro Optic Systems Holdings Ltd
EPA.AX	Ephraim Resources Limited
EPD.AX	Empired Ltd
EPM.AX	Eclipse Metals Limited.
EPW.AX	Erm Power Limited
EPX.AX	
EQE.AX	Equus Mining Limited
EQT.AX	Equity Trustees Ltd
EQU.AX	Equator Resources Ltd
EQX.AX	Eqitx Ltd
ERA.AX	Energy Resources of Australia Ltd
ERJ.AX	Enerji Ltd
ERJO.AX	Enerji Ltd
ERL.AX	Empire Resources Ltd
ERM.AX	Emmerson Resources Ltd
ERX.AX	Emperor Range Group Limited
ESI.AX	Environmental Solutions Internationl
ESIOA.AX	Environmental Clean Technologies Limited
ESIOB.AX	Environmental Clean Technologies Limited
ESK.AX	Etherstack Plc
ESM.AX	Esperance Minerals Nl
ESR.AX	Estrella Resources Limited
ESV.AX	eServGlobal Ltd
ETE.AX	Entek Energy Ltd
ETF.AX	ETF
ETPAGR.AX	ETPAGR
ETPCMD.AX	ETPCMD
ETPCOP.AX	ETPCOP
ETPCRN.AX	ETPCRN
ETPGAS.AX	ETPGAS
ETPGRN.AX	ETPGRN
ETPMAG.AX	ETFS Physical Silver
ETPMPD.AX	ETP
ETPMPM.AX	ETFS Physical PM Basket
ETPMPT.AX	ETP
ETPNRG.AX	ETPNRG
ETPOIL.AX	ETPOIL
ETSAPL.AX	Exchange Traded Security
ETSBAC.AX	Exchange Traded Security
ETSBOE.AX	Exchange Traded Security
ETSBRK.AX	Exchange Traded Security
ETSCAT.AX	Exchange Traded Security
ETSCIT.AX	Exchange Traded Security
ETSCSC.AX	Exchange Traded Security
ETSCVX.AX	Exchange Traded Security
ETSGEL.AX	Exchange Traded Security
ETSGOA.AX	ETSGOA
ETSGOC.AX	ETSGOC
ETSHDP.AX	Exchange Traded Security
ETSMCD.AX	Exchange Traded Security
ETSMDZ.AX	ETSMDZ
ETSMMM.AX	Exchange Traded Security
ETSMRK.AX	Exchange Traded Security
ETSMSF.AX	Exchange Traded Security
ETSORC.AX	Exchange Traded Security
ETSPFE.AX	Exchange Traded Security
ETSPGB.AX	Exchange Traded Security
EUG.AX	Eurogold Ltd
EUM.AX	Eumeralla Resources Limited
EVE.AX	Energy Ventures Ltd
EVM.AX	EnviroMission Ltd
EVN.AX	Evolution Mining Limited
EVO.AX	Evolve Education Group Limited
EVT.AX	Event Hospitality And Entertainment Ltd
EVZ.AX	Envirozel Ltd
EWC.AX	Energy World Corporation Ltd
EXC.AX	Exterra Resources Limited
EXE.AX	Exoma Energy Ltd
EXG.AX	Excelsior Gold Limited
EXM.AX	Excalibur Mining Corporation Ltd
EXR.AX	Elixir Petroleum Ltd
EXRO.AX	Elixir Petroleum Limited
EXU.AX	Explaurum Limited
EYM.AX	Elysium Resources Limited
EYMO.AX	Elysium Resources Limited
EZA.AX	Ezeatm Limited
EZL.AX	Euroz Ltd
FAN.AX	Fantastic Holdings Ltd
FAR.AX	First Australian Resources Ltd
FAS.AX	Fairstar Resources Ltd
FBR.AX	Fastbrick Robotics Ltd
FBU.AX	Fletcher Building Ltd
FBUKOA.AX	Fletcher Building Limited
FBUKOP.AX	Fletcher Building Limited
FBUKOQ.AX	Fletcher Building Limited
FCG.AX	Frontier Capital Group Limited
FCN.AX	Falcon Minerals Ltd
FCR.AX	Ferrum Crescent Limited
FEL.AX	Fe Limited
FET.AX	Folkestone Education Trust
FFC.AX	Farmaforce Limited
FFG.AX	Fatfish Internet Group Ltd
FFGO.AX	Fatfish Internet Group Ltd
FFI.AX	FFI Holdings Ltd
FFT.AX	Future Fibre Technologies Limited
FGF.AX	First Growth Funds Limited
FGFO.AX	First Growth Funds Limited
FGFOA.AX	First Growth Funds Limited
FGG.AX	Future Generation Global Investment Company Limited
FGGO.AX	Future Generation Global Investment Company Limited
FGI.AX	Flat Glass Industries Ltd
FGR.AX	First Graphite Limited
FGROA.AX	First Graphite Limited
FGROB.AX	First Graphite Limited
FGX.AX	Future Generation Investment Fund Limited
FGXO.AX	Future Generation Investment Fund Limited
FID.AX	Fiducian Group Limited
FIE.AX	Firestrike Resources Limited
FIEOA.AX	Firestrike Resources Limited
FLK.AX	Folkestone Ltd
FLN.AX	Freelancer Limited
FLR.AX	Frankland River Olive Company Ltd
FLT.AX	Flight Centre Ltd
FLTKOB.AX	Flight Centre Travel Group Limited
FLTKOD.AX	Flight Centre Travel Group Limited
FLTKOE.AX	Flight Centre Travel Group Limited
FLTKOP.AX	Flight Centre Travel Group Limited
FLTKOQ.AX	Flight Centre Travel Group Limited
FLTKOS.AX	Flight Centre Travel Group Limited
FMG.AX	Fortescue Metals Group Ltd
FMGKOA.AX	Fortescue Metals Group Ltd
FMGKOB.AX	Fortescue Metals Group Ltd
FMGKOC.AX	Fortescue Metals Group Ltd
FMGKOD.AX	Fortescue Metals Group Ltd
FMGKOH.AX	Fortescue Metals Group Ltd
FMGKOI.AX	Fortescue Metals Group Ltd
FMGKOK.AX	Fortescue Metals Group Ltd
FMGKOM.AX	Fortescue Metals Group Ltd
FMGKOO.AX	Fortescue Metals Group Ltd
FMGKOP.AX	Fortescue Metals Group Ltd
FMGKOQ.AX	Fortescue Metals Group Ltd
FMGKOT.AX	Fortescue Metals Group Ltd
FMGKOX.AX	Fortescue Metals Group Ltd
FMGQOR.AX	Fortescue Metals Group Ltd
FMGQOU.AX	Fortescue Metals Group Ltd
FMGQOV.AX	Fortescue Metals Group Ltd
FMGQOW.AX	Fortescue Metals Group Ltd
FMGQOY.AX	Fortescue Metals Group Ltd
FML.AX	Focus Minerals Ltd
FMS.AX	Flinders Mines Ltd
FND.AX	Finders Resources Ltd
FNP.AX	Freedom Nutritional Products Ltd
FNT.AX	Frontier Resources Ltd
FOD.AX	The Food Revolution Group Limited
FPH.AX	Fisher & Paykel Healthcare Corp Ltd
FRC.AX	Forte Consolidated Limited
FRE.AX	Freshtel Holdings Ltd
FRI.AX	Finbar International Ltd
FRM.AX	Farm Pride Foods Ltd
FRX.AX	Flexiroam Limited
FSA.AX	FSA Group Ltd
FSE.AX	Firestone Energy Ltd
FSF.AX	Fonterra Shareholders Fund
FSI.AX	Flagship Investments Limited
FTZ.AX	Fertoz Limited
FTZO.AX	Fertoz Limited
FUN.AX	Funtastic Ltd
FWD.AX	Fleetwood Corporation Ltd
FXEKOA.AX	Currency Warrant Aud/eur
FXEKOG.AX	FXEKOG
FXEKOQ.AX	Currency Warrant Aud/eur
FXEKOS.AX	Currency Warrant Aud/eur
FXJ.AX	Fairfax (John) Holdings Ltd
FXJKOD.AX	Fairfax Media Limited
FXJKOF.AX	Fairfax Media Limited
FXJKOG.AX	Fairfax Media Limited
FXJKOR.AX	Fairfax Media Limited
FXJKOS.AX	Fairfax Media Limited
FXL.AX	Flexigroup Ltd
FXLKOA.AX	Flexigroup Limited
FXLKOF.AX	Flexigroup Limited
FXPKOA.AX	FXPKOA
FXPKOB.AX	FXPKOB
FXPKOP.AX	Currency Warrant Aud/gbp
FXPKOT.AX	FXPKOT
FXPKOU.AX	FXPKOU
FXR.AX	Fox Resources Ltd
FXRO.AX	FXRO
FXUKOA.AX	Currency Warrant Aus/usd.
FXUKOC.AX	Currency Warrant Aus/usd.
FXUKOI.AX	FXUKOI
FXUKOJ.AX	FXUKOJ
FXUKOK.AX	FXUKOK
FXUKOL.AX	FXUKOL
FXUKOP.AX	Currency Warrant Aus/usd.
FXUKOR.AX	Currency Warrant Aus/usd.
FXUKOS.AX	Currency Warrant Aus/usd.
FXUKOT.AX	Currency Warrant Aus/usd.
FXUKOU.AX	Currency Warrant Aus/usd.
FXUKOV.AX	Currency Warrant Aus/usd.
FXUKOY.AX	Currency Warrant Aus/usd.
FXUQOA.AX	FXUQOA
FXUQOP.AX	FXUQOP
FXUQOQ.AX	FXUQOQ
FXUQOR.AX	FXUQOR
FXUQOS.AX	FXUQOS
FXUQOT.AX	FXUQOT
FXUQOU.AX	FXUQOU
FXUQOV.AX	FXUQOV
FXUQOZ.AX	FXUQOZ
FXYKOA.AX	FXYKOA
FXYKOC.AX	FXYKOC
FXYKOM.AX	FXYKOM
FXYKOP.AX	Currency Warrant Aud/jpy
FXYKOQ.AX	FXYKOQ
FXYKOS.AX	FXYKOS
FXYKOX.AX	FXYKOX
FXYKOY.AX	FXYKOY
FXZKOE.AX	FXZKOE
FXZKOP.AX	Currency Warrant Aud/nzd
FXZKOQ.AX	FXZKOQ
FXZKOS.AX	FXZKOS
FYI.AX	FYI
FZR.AX	Fitzroy River Corporation Ltd
GAP.AX	Gale Pacific Ltd
GBA.AX	Grandbridge Ltd
GBE.AX	Globe Uranium Ltd
GBG.AX	Gindalbie Metals Ltd
GBI.AX	Genera Biosystems Ltd
GBM.AX	Greater Bendigo Mines Ltd
GBP.AX	Global Petroleum Ltd
GBT.AX	GBST Holdings Ltd
GBX.AX	GB Energy Ltd
GBZ.AX	GBM Resources Ltd
GBZO.AX	GBM Resources Ltd
GC1.AX	Glennon Small Companies Limited
GC1O.AX	Glennon Small Companies Limited
GCN.AX	GoConnect Ltd
GCR.AX	Golden Cross Resources Ltd
GCS.AX	Global Construction Services Ltd
GCY.AX	Gascoyne Resources Limited
GDA.AX	Gondwana Resources Ltd
GDF.AX	Garda Diversified Property Fund
GDI.AX	Gdi Property Group
GDX.AX	GDX
GDY.AX	Geodynamics Ltd
GEAR.AX	GEAR
GED.AX	Golden Deeps Ltd
GEG.AX	Grays Ecommerce Group Limited
GEM.AX	G8 Education Limited
GEMKOC.AX	G8 Education Limited
GEMKOF.AX	G8 Education Limited
GER.AX	Greenearth Energy Ltd
GES.AX	Genesis Resources Limited
GFI.AX	Global Fortune Investment Limited
GFL.AX	Global Masters Fund Ltd
GFY.AX	Godfreys Group Limited
GGE.AX	Grand Gulf Energy Ltd
GGG.AX	Gold Company Ltd
GGGOA.AX	Greenland Minerals And Energy Limited
GGGOB.AX	Greenland Minerals And Energy Limited
GGH.AX	Global Gold Holdings Ltd
GGX.AX	Gas2Grid Ltd
GHC.AX	Generation Healthcare Reit
GID.AX	Gi Dynamics Inc
GJT.AX	Galileo Japan Trust
GLA.AX	Gladiator Resources Ltd
GLAOA.AX	Gladiator Resources Limited
GLB.AX	Globe International Ltd
GLE.AX	GLG Corp Ltd
GLF.AX	Gulf Resources Ltd
GLH.AX	Global Health Ltd
GLL.AX	Galilee Energy Limited
GLN.AX	Gleneagle Gold Ltd
GMA.AX	Genworth Mortgage Insurance Australia Limited
GMAKOA.AX	Genworth Mortgage Insurance Australia Limited
GMAKOP.AX	Genworth Mortgage Insurance Australia Limited
GMAKOQ.AX	Genworth Mortgage Insurance Australia Limited
GMC.AX	Gulf Minerals Corporation Ltd
GMD.AX	Genesis Minerals Ltd
GME.AX	GME Resources Ltd
GMF.AX	Goodman Fielder
GMG.AX	Goodman Group
GMGKOF.AX	Goodman Group
GMGKON.AX	Goodman Group
GMGKOP.AX	Goodman Group
GMGKOT.AX	Goodman Group
GML.AX	Gateway Mining NL
